Algoritme,Mapa,Trobat,Longitud,NodesExplorats,NodesTallats,MemoriaPic,TempsMs
BFS,mapA,YES,5,137,508,278,42
DFS,mapA,YES,15,16,16,116,2
IDS,mapA,NO),-,0,0,0,0
A* Basica,mapA,NO),-,0,0,0,0
A* Avancada,mapA,NO),-,0,0,0,0
BFS,mapB,YES,31,183,276,186,3
DFS,mapB,NO),-,179,265,189,3
IDS,mapB,NO),-,0,0,0,0
A* Basica,mapB,NO),-,0,0,0,0
A* Avancada,mapB,NO),-,0,0,0,0
BFS,mapC,YES,37,13113,51940,14161,211
DFS,mapC,NO),-,2222,5971,2266,22
IDS,mapC,NO),-,0,0,0,0
A* Basica,mapC,NO),-,0,0,0,0
A* Avancada,mapC,NO),-,0,0,0,0
BFS,mapD,YES,79,113818,702218,116250,2674
DFS,mapD,NO),-,6616,21694,6654,98
IDS,mapD,NO),-,0,0,0,0
A* Basica,mapD,NO),-,0,0,0,0
A* Avancada,mapD,NO),-,0,0,0,0
